Date,TONAR
2020-01-24,-0.0004548494983277593
2020-01-24,-0.0004626532887402452
2020-01-24,-0.0005406911928651061
2020-01-24,-0.0005328874024526197
2020-01-24,-0.0005250836120401338
2020-01-24,-0.0005328874024526197
2020-01-24,-0.0004704570791527313
2020-01-24,-0.0004626532887402452
2020-01-25,-0.0004314381270903011
2020-01-25,-0.00044704570791527314
2020-01-25,-0.0005250836120401338
2020-01-25,-0.0005172798216276479
2020-01-25,-0.0005094760312151616
2020-01-25,-0.0005172798216276479
2020-01-25,-0.0004548494983277593
2020-01-25,-0.000439241917502787
2020-01-26,-0.00042363433667781496
2020-01-26,-0.0005094760312151616
2020-01-26,-0.0005016722408026756
2020-01-26,-0.0004938684503901897
2020-01-26,-0.0005016722408026756
2020-01-27,-0.00042363433667781496
