Date,SARON
2020-04-02,-0.006714601769911505
2020-04-03,-0.006714601769911505
2020-04-04,-0.006714601769911505
2020-04-05,-0.006714601769911505
2020-04-06,-0.006714601769911505
2020-04-07,-0.006714601769911505
2020-04-08,-0.006714601769911505
2020-04-09,-0.006714601769911505
2020-04-10,-0.006714601769911505
2020-04-11,-0.006714601769911505
2020-04-12,-0.006714601769911505
2020-04-13,-0.006714601769911505
2020-04-14,-0.006714601769911505
2020-04-15,-0.006714601769911505
2020-04-16,-0.006714601769911505
2020-04-16,-0.006714601769911505
2020-04-16,-0.006581858407079646
2020-04-16,-0.006581858407079646
2020-04-17,-0.00668141592920354
2020-04-17,-0.00668141592920354
2020-04-17,-0.006548672566371682
2020-04-17,-0.006548672566371682
2020-04-18,-0.006565265486725665
2020-04-19,-0.006581858407079647
