Date,SONIA
2022-07-31,0.0156
2022-07-31,0.0156
2022-07-31,0.016
2022-08-01,0.014466666666666666
2022-08-01,0.014066666666666667
2022-08-01,0.014066666666666667
2022-08-01,0.014466666666666666
2022-08-01,0.016533333333333334
2022-08-01,0.016066666666666667
2022-08-01,0.016066666666666667
2022-08-01,0.016533333333333334
2022-08-02,0.015
2022-08-02,0.014533333333333334
2022-08-02,0.014533333333333334
2022-08-02,0.015
2022-08-02,0.01693333333333333
2022-08-02,0.0166
2022-08-02,0.0166
2022-08-02,0.016866666666666665
2022-08-03,0.015466666666666665
2022-08-03,0.015066666666666666
2022-08-03,0.015066666666666666
2022-08-03,0.015466666666666665
2022-08-03,0.016999999999999998
2022-08-04,0.016
2022-08-04,0.015533333333333333
2022-08-04,0.015533333333333333
2022-08-04,0.016
2022-08-04,0.016999999999999998
2022-08-05,0.016466666666666664
2022-08-05,0.016066666666666667
2022-08-05,0.016066666666666667
2022-08-05,0.016466666666666664
2022-08-06,0.016733333333333333
2022-08-06,0.016533333333333334
2022-08-06,0.016533333333333334
2022-08-06,0.016666666666666666
2022-08-07,0.016733333333333333
2022-08-08,0.01674074074074074
2022-08-09,0.016748148148148147
2022-08-10,0.016755555555555555
2022-08-11,0.016762962962962962
2022-08-12,0.01677037037037037
2022-08-13,0.016777777777777777
2022-08-14,0.016785185185185184
2022-08-15,0.01679259259259259
2022-08-16,0.0168
2022-08-17,0.016807407407407406
2022-08-18,0.016814814814814814
2022-08-19,0.01682222222222222
2022-08-20,0.01682962962962963
2022-08-21,0.016837037037037036
2022-08-22,0.016844444444444443
2022-08-23,0.01685185185185185
2022-08-24,0.016859259259259258
2022-08-25,0.016866666666666665
2022-08-26,0.016874074074074073
2022-08-27,0.01688148148148148
2022-08-28,0.016888888888888887
2022-08-29,0.016896296296296295
2022-08-30,0.016903703703703702
2022-08-31,0.01691111111111111
2022-09-01,0.016918518518518517
2022-09-02,0.016925925925925924
2022-09-03,0.01693333333333333
2022-09-04,0.01694074074074074
2022-09-05,0.016948148148148146
2022-09-06,0.016955555555555554
2022-09-07,0.01696296296296296
2022-09-08,0.01697037037037037
2022-09-09,0.016977777777777776
2022-09-10,0.016985185185185183
2022-09-11,0.01699259259259259
2022-09-12,0.016999999999999998
2022-09-13,0.016999999999999998
2022-09-13,0.017066666666666667
2022-09-14,0.01753333333333333
2022-09-14,0.017133333333333334
2022-09-14,0.017133333333333334
2022-09-14,0.01753333333333333
2022-09-15,0.016733333333333333
2022-09-15,0.018066666666666665
2022-09-15,0.0176
2022-09-15,0.0176
2022-09-15,0.018066666666666665
